Date,Type,Confirmation Code,Listing,Details,Reference code,Currency,Amount,Paid out
02/26/2025,Reservation,HMC89R2WEM,Double bed with en suite,,,AUD,405.31,
02/26/2025,Reservation,HMDSWYAM85,Private Double Room in  Potts Point /Share Bthroom,,,AUD,112.34,
02/25/2025,Payout,,,"Transfer to AGAF PTY LTD, Checking •••••1351 (AUD)",0MS06ozUI0t6b2EmsP5NCD6GreG,AUD,,322.24
02/25/2025,Reservation,HMJWARFBMF,Affordable single bed room near everything,,,AUD,322.24,
02/24/2025,Payout,,,"Transfer to AGAF PTY LTD, Checking •••••1351 (AUD)",0MS06wQFrCutI4onfW7qkly1H9M,AUD,,603.32
02/24/2025,Reservation,HMMRE2CZFZ,Double bed with en suite,,,AUD,256.21,
02/24/2025,Reservation,HM9JMJRBK3,Private Double Room in  Potts Point /Share Bthroom,,,AUD,347.11,
02/22/2025,Payout,,,"Transfer to AGAF PTY LTD, Checking •••••1351 (AUD)",0MS06rSEdKEbh4VAiVrttwwjWJ6,AUD,,159.55
02/22/2025,Reservation,HM5ASF2P49,Affordable single bed room near everything,,,AUD,159.55,
02/20/2025,Payout,,,"Transfer to AGAF PTY LTD, Checking •••••1351 (AUD)",0MS06y4MO9YRPIM3LQANlsUzwU9,AUD,,368.73
02/20/2025,Reservation,HM2HYE2NDH,Affordable single bed room near everything,,,AUD,368.73,
02/19/2025,Payout,,,"Transfer to AGAF PTY LTD, Checking •••••1351 (AUD)",0MS06t9DjtPqDa1KiyLTj6zjDZR,AUD,,142.87
02/19/2025,Reservation,HMAQ2EJ9HT,Triple Room Shared Bathroom,,,AUD,142.87,
02/18/2025,Payout,,,"Transfer to AGAF PTY LTD, Checking •••••1351 (AUD)",0MS06zjHwNQrpw6SJzxyYjGCEN91,AUD,,536.59
02/18/2025,Reservation,HMRYY2ZFKM,Private Double Room in  Potts Point /Share Bthroom,,,AUD,289.43,
02/18/2025,Reservation,HMXPHDSNZB,Private Double Room in  Potts Point /Share Bthroom,,,AUD,247.16,
02/17/2025,Payout,,,"Transfer to AGAF PTY LTD, Checking •••••1351 (AUD)",0MS06tVF4NdM5KJTgn4bru1z7FV,AUD,,385.77
02/17/2025,Reservation,HMEBZH5PN5,Private Double Room in  Potts Point /Share Bthroom,,,AUD,385.77,
02/16/2025,Payout,,,"Transfer to AGAF PTY LTD, Checking •••••1351 (AUD)",0MS06otJqn8GXK2MWip9Z8UKNq2,AUD,,547.81
02/16/2025,Reservation,HMPXMK8FNN,Double bed with en suite,,,AUD,195.39,
02/16/2025,Reservation,HM8WZDBBFM,Triple Room Shared Bathroom,,,AUD,187.44,
02/16/2025,Reservation,HM5ZZFYTQZ,Private Double Room in  Potts Point /Share Bthroom,,,AUD,164.98,
02/15/2025,Payout,,,"Transfer to AGAF PTY LTD, Checking •••••1351 (AUD)",0MS06qA2LP62cqueeTIKX1xmu33,AUD,,1232.68
02/15/2025,Reservation,HMK2BYAQTR,Private Double Room in  Potts Point /Share Bthroom,,,AUD,1232.68,
02/14/2025,Payout,,,"Transfer to AGAF PTY LTD, Checking •••••1351 (AUD)",0MS06rw9sDAkhqApiPe5uVzYe31,AUD,,151.47
02/14/2025,Reservation,HM2EHT4YW8,Double bed with en suite,,,AUD,151.47,
2/12/2025,Payout,,,"Transfer to AGAF PTY LTD, Checking •••••1351 (AUD)",0MS06m2b0tVqO4jhgyEvSLMk6QO,AUD,,489.38
2/12/2025,Reservation,HMXJ5EZX42,Family Room Sleeps 4,,,AUD,489.38,
2/11/2025,Payout,,,"Transfer to AGAF PTY LTD, Checking •••••1351 (AUD)",0MS06vhPcv6INKYmd4XsIIo3xW8,AUD,,6457.89
2/11/2025,Reservation,HMQNBYFX95,"Luxury 2BR Unit w/ Parking, Lift, AC & Balcony BB",,,AUD,6457.89,
2/08/2025,Payout,,,"Transfer to AGAF PTY LTD, Checking •••••1351 (AUD)",0MS06tKHYWjkVaymms9bXh57yNd,AUD,,1380.25
2/08/2025,Reservation,HMY9SS8R5R,"Luxury 2BR Unit w/ Parking, Lift, AC & Balcony BB",,,AUD,1380.25,
2/07/2025,Payout,,,"Transfer to AGAF PTY LTD, Checking •••••1351 (AUD)",0MS06opcDMf04qK6YLRCCdJ6uk6,AUD,,87.17
2/07/2025,Reservation,HM3MCRYX39,Affordable single bed room near everything,,,AUD,87.17,
2/06/2025,Payout,,,"Transfer to AGAF PTY LTD, Checking •••••1351 (AUD)",0MS06tzjG35F1ALVKdmgeozzgqJ1,AUD,,1031.22
2/06/2025,Reservation,HM9FNHD5FH,"Luxury 2BR Unit w/ Parking, Lift, AC & Balcony BB",,,AUD,1031.22,
2/02/2025,Payout,,,"Transfer to AGAF PTY LTD, Checking •••••1351 (AUD)",0MS06umuQ4GTDqjIbWdF3eVAJX5,AUD,,174.25
2/02/2025,Reservation,HM8S5H5RS2,Private Double Room in  Potts Point /Share Bthroom,,,AUD,174.25,
2/01/2025,Payout,,,"Transfer to AGAF PTY LTD, Checking •••••1351 (AUD)",0MS06tDz7jWj6ABInP3WnLSN7zK,AUD,,1375.37
2/01/2025,Reservation,HMNAPCRDPE,Double bed with en suite,,,AUD,350.27,
2/01/2025,Reservation,HM2A94HZAF,Family Room Sleeps 4,,,AUD,177.95,
2/01/2025,Reservation,HMAT5TBWHW,Triple Room Shared Bathroom,,,AUD,153.64,
2/01/2025,Reservation,HMCJAXFH4X,Triple Room Shared Bathroom,,,AUD,693.51,
01/31/2025,Payout,,,"Transfer to AGAF PTY LTD, Checking •••••1351 (AUD)",0MS06yMErGD1VA8zg4mA7ANLE4b,AUD,,90.85
01/31/2025,Reservation,HM9KAYET8B,Affordable single bed room near everything,,,AUD,90.85,
01/31/2025,Payout,,,"Transfer to AGAF PTY LTD, Checking •••••1351 (AUD)",0MS06mneyPFvtIHrnLFyTGKlqy41,AUD,,902.63
01/31/2025,Reservation,HMNZYPTXB2,"Luxury 2BR Unit w/ Parking, Lift, AC & Balcony BB",,,AUD,902.63,
01/30/2025,Payout,,,"Transfer to AGAF PTY LTD, Checking •••••1351 (AUD)",0MS06ptR1DRFIavhgrF6L9s1rt5,AUD,,395.19
01/30/2025,Reservation,HMBAXJTAA2,Affordable single bed room near everything,,,AUD,304.34,
01/30/2025,Reservation,HMHZJCJA9P,Affordable single bed room near everything,,,AUD,90.85,
01/27/2025,Payout,,,"Transfer to AGAF PTY LTD, Checking •••••1351 (AUD)",0MS06pjU4rQzgILaNFNeOdABU5M,AUD,,2035.73
01/27/2025,Reservation,HMTNWQBWNE,"Luxury 2BR Unit w/ Parking, Lift, AC & Balcony BB",,,AUD,2035.73,
01/27/2025,Payout,,,"Transfer to AGAF PTY LTD, Checking •••••1351 (AUD)",0MS06z5RNrdjIoMJMDii1iAMFA0,AUD,,423.44
01/27/2025,Reservation,HM4CJC95FB,Private Double Room in  Potts Point /Share Bthroom,,,AUD,207.35,
01/27/2025,Reservation,HMRANZ9MRW,Affordable single bed room near everything,,,AUD,91.01,
01/27/2025,Reservation,HM2MPQCYJT,Triple Room Shared Bathroom,,,AUD,125.08,
01/26/2025,Payout,,,"Transfer to AGAF PTY LTD, Checking •••••1351 (AUD)",0MS06wZLVACiTqFqXky4tZOt1P6,AUD,,905.22
01/26/2025,Reservation,HMS4DPADMQ,Family Room Sleeps 4,,,AUD,336.58,
01/26/2025,Reservation,HMSWTKXBZ5,Double bed with en suite,,,AUD,145.99,
01/26/2025,Reservation,HMJWTFDMZR,Triple Room Shared Bathroom,,,AUD,137.08,
01/26/2025,Reservation,HMHA8CQJMN,Affordable single bed room near everything,,,AUD,285.57,
01/25/2025,Payout,,,"Transfer to AGAF PTY LTD, Checking •••••1351 (AUD)",0MS06tboDH7hnKzrogcSTUz89bI,AUD,,98.23
01/25/2025,Reservation,HMAZQPX4PE,Affordable single bed room near everything,,,AUD,98.23,
